,NAME,POSITION,MIN,PLD,TIT,SUP,SUST,YC,RC,2Y,GOALS,PEN,OG,GC
0,Ter Stegen,Goalkeeper,675,8,8,0,1,0,0,0,0,0,0,9
1,Cubarsí,Defender,2620,35,29,6,9,3,0,0,0,0,0,32
2,Balde,Defender,2292,32,26,6,13,2,0,0,0,0,0,22
3,R. Araujo,Defender,757,12,11,1,6,3,0,0,1,0,0,5
4,I. Martinez,Defender,2493,28,28,0,3,5,0,0,0,0,0,31
5,Gavi,Midfielder,1083,26,14,12,10,4,0,0,1,0,0,12
6,Ferran,Forward,1100,27,12,15,10,1,1,0,10,0,0,21
7,Pedri,Midfielder,2892,37,35,2,20,3,0,0,4,0,0,30
8,Lewandowski,Forward,2681,34,32,2,17,1,0,0,27,3,0,27
9,Ansu Fati,Forward,232,6,3,3,3,1,0,0,0,0,0,1
10,Raphinha,Forward,2844,36,32,4,9,4,0,0,18,2,0,31
11,Iñaki Peña,Goalkeeper,1395,16,15,1,0,1,0,0,0,0,0,18
12,Pablo Torre,Midfielder,308,10,4,6,4,0,0,0,3,0,0,4
13,Christensen,Defender,252,5,2,3,1,3,0,0,0,0,0,2
14,Fermin,Midfielder,1245,28,12,16,8,4,1,0,6,0,0,15
15,M. Casadó,Midfielder,1616,23,20,3,9,2,1,1,1,0,0,14
16,Pau Victor,Forward,308,21,2,19,2,2,0,0,2,0,0,7
17,Lamine Yamal,Forward,2861,35,31,4,11,3,0,0,9,0,0,28
18,Dani Olmo,Midfielder,1216,25,13,12,13,1,0,0,10,2,0,10
19,F. De Jong,Midfielder,1136,26,9,17,6,3,0,0,2,0,0,18
20,Kounde,Defender,2606,32,29,3,4,4,0,0,2,0,0,30
21,Eric,Defender,1556,29,14,15,5,4,0,0,2,0,0,16
22,Szczesny,Goalkeeper,1350,15,15,0,0,0,0,0,0,0,0,12
23,Astralaga,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0
24,Marc Bernal,Midfielder,243,3,3,0,2,2,0,0,0,0,0,3
25,Àlex Valle,Defender,0,0,0,0,0,0,0,0,0,0,0,0
26,Kochen,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0
27,Héctor Fort,Defender,579,17,5,12,4,2,0,0,0,0,0,9
28,Darvich,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0
29,Martín,Defender,1028,28,11,17,7,2,0,0,1,0,0,15
30,Sergi Domínguez,Defender,173,3,2,1,2,1,0,0,0,0,0,4
31,Alexis Olmedo,Defender,0,0,0,0,0,0,0,0,0,0,0,0
32,Andrés Cuenca,Defender,0,0,0,0,0,0,0,0,0,0,0,0
33,Aron,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0
34,Guille Fernández,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0
35,Toni Fernández,Forward,0,0,0,0,0,0,0,0,0,0,0,0
36,Alvaro Cortes,Defender,0,0,0,0,0,0,0,0,0,0,0,0
37,Landry,Defender,0,0,0,0,0,0,0,0,0,0,0,0
38,Dani Rodriguez,Forward,38,1,1,0,1,0,0,0,0,0,0,1
