,NAME,TEAM,GOALS SCORED,GAMES,GOALS PER MATCHES
0,KYLIAN MBAPPÉ,REAL MADRID,31,34,0.91
1,ROBERT LEWANDOWSKI,FC BARCELONA,27,34,0.79
2,ANTE BUDIMIR,CA OSASUNA,21,38,0.55
3,ALEXANDER SØRLOTH,ATLÉTICO DE MADRID,20,35,0.57
4,AYOZE PÉREZ,VILLARREAL CF,19,30,0.63
5,RAPHAEL DIAS BELLOLI,FC BARCELONA,18,36,0.50
6,JULIÁN ÁLVAREZ,ATLÉTICO DE MADRID,17,37,0.46
7,OIHAN SANCET,ATHLETIC CLUB,15,29,0.52
8,KIKE GARCÍA,DEPORTIVO ALAVÉS,13,35,0.37
9,JAVI PUADO,RCD ESPANYOL DE BARCELONA,12,35,0.34
10,CRISTHIAN STUANI,GIRONA FC,11,32,0.34
11,BORJA IGLESIAS,CELTA,11,37,0.30
12,DODI LUKÉBAKIO,SEVILLA FC,11,38,0.29
13,HUGO DURO,VALENCIA CF,11,31,0.35
14,VINÍCIUS JOSÉ PAIXÃO DE OLIVEIRA JÚNIOR,REAL MADRID,11,30,0.37
15,THIERNO BARRY,VILLARREAL CF,11,35,0.31
16,MAURO ARAMBARRI,GETAFE CF,10,35,0.29
17,IAGO ASPAS,CELTA,10,30,0.33
18,FERRAN TORRES,FC BARCELONA,10,27,0.37
19,DANI OLMO,FC BARCELONA,10,25,0.40
20,FÁBIO DANIEL SOARES SILVA,UD LAS PALMAS,10,24,0.42
21,SANDRO RAMÍREZ,UD LAS PALMAS,9,31,0.29
22,LAMINE YAMAL NASRAOUI EBANA,FC BARCELONA,9,35,0.26
23,MIKEL OYARZABAL,REAL SOCIEDAD,9,35,0.26
24,JUDE BELLINGHAM,REAL MADRID,9,31,0.29
25,FRANCISCO ROMÁN ALARCÓN SUÁREZ,REAL BETIS,9,22,0.41
26,DANI RABA,CD LEGANÉS,8,29,0.28
27,DIEGO LÓPEZ,VALENCIA CF,8,38,0.21
28,ANTOINE GRIEZMANN,ATLÉTICO DE MADRID,8,38,0.21
29,GIOVANI LO CELSO,REAL BETIS,8,25,0.32
30,GORKA GURUZETA,ATHLETIC CLUB,7,36,0.19
31,VEDAT MURIQI,RCD MALLORCA,7,29,0.24
32,CYLE LARIN,RCD MALLORCA,7,32,0.22
33,ÁLEX BAENA,VILLARREAL CF,7,32,0.22
34,IÑAKI WILLIAMS,ATHLETIC CLUB,6,35,0.17
35,ALEX BERENGUER,ATHLETIC CLUB,6,36,0.17
36,ALBERTO MOLEIRO,UD LAS PALMAS,6,35,0.17
37,JORGE DE FRUTOS,RAYO VALLECANO,6,36,0.17
38,FEDERICO VALVERDE,REAL MADRID,6,36,0.17
39,RODRYGO SILVA DE GOES,REAL MADRID,6,30,0.20
40,FERMÍN LÓPEZ,FC BARCELONA,6,28,0.21
41,ROBERTO FERNÁNDEZ,RCD ESPANYOL DE BARCELONA,6,19,0.32
42,NICHOLAS WILLIAMS ARTHUER,ATHLETIC CLUB,5,29,0.17
43,CARLOS VICENTE,DEPORTIVO ALAVÉS,5,37,0.14
44,ALFON GONZÁLEZ,CELTA,5,26,0.19
45,JUAN CRUZ,CD LEGANÉS,5,34,0.15
46,RUBÉN GARCÍA,CA OSASUNA,5,36,0.14
47,AIMAR OROZ,CA OSASUNA,5,37,0.14
48,TAKEFUSA KUBO,REAL SOCIEDAD,5,36,0.14
49,MAMADOU SYLLA,REAL VALLADOLID CF,5,29,0.17
50,LUIS RIOJA,VALENCIA CF,5,37,0.14
51,JOAN JORDÁN,DEPORTIVO ALAVÉS,5,25,0.20
52,BORJA MAYORAL,GETAFE CF,5,24,0.21
53,UMAR SADIQ,VALENCIA CF,5,23,0.22
54,ANTONY MATHEUS DOS SANTOS,REAL BETIS,5,17,0.29
55,CUCHO HERNÁNDEZ,REAL BETIS,5,15,0.33
56,DANI VIVIAN,ATHLETIC CLUB,4,32,0.13
57,YANGEL HERRERA,GIRONA FC,4,29,0.14
58,ABEL RUIZ,GIRONA FC,4,23,0.17
59,CHRISTANTUS UCHE,GETAFE CF,4,33,0.12
60,WILLIOT SWEDBERG,CELTA,4,32,0.13
61,ÓSCAR MINGUEZA,CELTA,4,34,0.12
62,PABLO DURÁN,CELTA,4,27,0.15
63,HUGO ÁLVAREZ,CELTA,4,26,0.15
64,JUANLU SÁNCHEZ,SEVILLA FC,4,32,0.13
65,ISAAC ROMERO,SEVILLA FC,4,31,0.13
66,PEDRO GONZÁLEZ LÓPEZ,FC BARCELONA,4,37,0.11
67,RAÚL GARCÍA,CA OSASUNA,4,32,0.13
68,PATHÉ CISS,RAYO VALLECANO,4,33,0.12
69,ISI PALAZÓN,RAYO VALLECANO,4,35,0.11
